Player,Tm,PER,OWS,DWS
Marquese Chriss,DAL,14.8,0.2,0.6
Josh Christopher,HOU,12.2,-0.4,0.7
Gary Clark,NOP,11.4,0.3,0.4
Brandon Clarke,MEM,23.7,4.4,1.9
Jordan Clarkson,UTA,14.9,1.5,2
Nic Claxton,BRK,18.6,2.3,1.2
Amir Coffey,LAC,13,2.3,1.5
John Collins,ATL,18.7,3.6,1.4
Zach Collins,SAS,16.4,0.6,0.7
Darren Collison,LAL,-0.2,-0.1,0
Mike Conley,UTA,17.2,4.4,2.3
Pat Connaughton,MIL,13.4,2.8,1.6
Tyler Cook,CHI,13,0.4,0.2
Sharife Cooper,ATL,-5.4,-0.2,0
Petr Cornelie,DEN,9.6,-0.1,0
DeMarcus Cousins,TOT,18.2,0.3,1.3
DeMarcus Cousins,MIL,19,0.5,0.5
DeMarcus Cousins,DEN,17.6,-0.2,0.8
Robert Covington,TOT,12.4,0.8,2.4
Robert Covington,POR,10,-0.3,1.4
Robert Covington,LAC,19.4,1.1,1
Torrey Craig,TOT,11,0.9,1.4
Torrey Craig,IND,10.8,0.8,0.4
Torrey Craig,PHO,11.4,0.2,1
Jae Crowder,PHO,11.3,0.9,3.4
Jarrett Culver,MEM,8.7,-0.4,0.5
Jarron Cumberland,POR,8.4,0,0
Cade Cunningham,DET,13.1,-2.4,1.9
Seth Curry,TOT,13.7,2.7,1.5
Seth Curry,PHI,13.3,1.7,1.1
Seth Curry,BRK,14.6,1,0.3
Stephen Curry,GSW,21.4,4.6,3.4
Anthony Davis,LAL,23.9,2.6,2
Ed Davis,CLE,9.3,0.2,0.3
Terence Davis,SAC,14.6,0,0.5
Gabriel Deck,OKC,11.5,0.1,0
Dewayne Dedmon,MIA,15.9,1.5,2
Sam Dekker,TOR,0,0,0
Javin DeLaurier,MIL,15.6,0,0
DeMar DeRozan,CHI,23.1,7,1.8
Mamadi Diakite,OKC,11.6,0.1,0.3
Cheick Diallo,DET,12.3,0,0
Hamidou Diallo,DET,15.7,0.6,1.5
Gorgui Dieng,ATL,17.3,0.8,0.4
Spencer Dinwiddie,TOT,15.1,2.7,1.4
Spencer Dinwiddie,WAS,13.2,0.9,0.7
Spencer Dinwiddie,DAL,19,1.8,0.7
Donte DiVincenzo,TOT,11.3,-0.1,0.9
Donte DiVincenzo,MIL,7.9,-0.4,0.3
Donte DiVincenzo,SAC,13,0.2,0.6
Luka Dončić,DAL,25.1,3.8,3.8
Luguentz Dort,OKC,12.3,0.2,1.1
Ayo Dosunmu,CHI,11.2,1.7,1.3
Damyean Dotson,NYK,6.4,0,0
Devon Dotson,CHI,9.8,0.1,0
Sekou Doumbouya,LAL,40.7,0,0.1
Jeff Dowtin,TOT,6.8,-0.1,0.1
Jeff Dowtin,GSW,9.5,0,0
Jeff Dowtin,MIL,-12.9,0,0
Jeff Dowtin,ORL,6.5,-0.1,0.1
PJ Dozier,DEN,8.7,-0.1,0.4
Goran Dragić,TOT,10,-0.1,0.4
Goran Dragić,TOR,16.2,0.2,0.1
Goran Dragić,BRK,8.6,-0.2,0.3
Andre Drummond,TOT,21,2,3.1
Andre Drummond,PHI,19.3,0.7,2.2
Andre Drummond,BRK,23.8,1.3,0.9
Chris Duarte,IND,12.3,0.2,0.7
David Duke Jr.,BRK,10,0,0.3
Kris Dunn,POR,12.5,-0.1,0.3
Kevin Durant,BRK,25.6,6.4,2
Jaime Echenique,WAS,0,0,0
Anthony Edwards,MIN,16.5,1.8,2.4
Carsen Edwards,DET,5.5,-0.1,0
Kessler Edwards,BRK,8.3,-0.2,0.9
Rob Edwards,OKC,-0.8,-0.1,0
CJ Elleby,POR,9.2,-0.1,0.5
Wayne Ellington,LAL,9.9,0.6,0.4
Joel Embiid,PHI,31.2,7.9,4.1
James Ennis III,TOT,17.7,0.1,0.1
James Ennis III,BRK,14.7,0,0
James Ennis III,LAC,26.3,0.1,0
James Ennis III,DEN,3.7,0,0
Drew Eubanks,TOT,18,2.2,1.1
Drew Eubanks,SAS,16,0.6,0.8
Drew Eubanks,POR,19.9,1.6,0.3
Tacko Fall,CLE,11.3,-0.1,0.1
Derrick Favors,OKC,13.6,0.8,0.7
Bruno Fernando,TOT,21.2,0.2,0.2
Bruno Fernando,BOS,12.6,0,0.1
Bruno Fernando,HOU,26.5,0.2,0.1
Dorian Finney-Smith,DAL,12.5,3.4,3.2
Malik Fitts,TOT,10.7,0.1,0.1
Malik Fitts,UTA,-1.6,-0.1,0
Malik Fitts,BOS,26.1,0.2,0
Malachi Flynn,TOR,11.7,0.5,0.5
Bryn Forbes,TOT,11.5,0.8,0.6
Bryn Forbes,SAS,12.4,0.3,0.4
Bryn Forbes,DEN,10.6,0.5,0.2
Aleem Ford,ORL,0.5,-0.2,0.1
Trent Forrest,UTA,10.9,0.5,0.8
Evan Fournier,NYK,12.3,1.5,2.2
De'Aaron Fox,SAC,17.4,1.5,1
Melvin Frazier,OKC,-0.4,-0.4,0
Tim Frazier,TOT,3.3,-0.3,0.1
Tim Frazier,ORL,3.8,-0.2,0.1
Tim Frazier,CLE,-10.3,-0.1,0
Enes Freedom,BOS,15,0.6,0.7
Markelle Fultz,ORL,17.7,0,0.4
Wenyen Gabriel,TOT,12.5,0.4,0.3
Wenyen Gabriel,BRK,11.8,0,0
Wenyen Gabriel,LAC,8.3,0,0.1
Wenyen Gabriel,LAL,13.1,0.4,0.2
Daniel Gafford,WAS,21.8,4.4,1.6
Danilo Gallinari,ATL,14.3,2.8,0.8
Langston Galloway,TOT,0.7,-0.3,0.1
Langston Galloway,BRK,1.8,-0.1,0
Langston Galloway,MIL,-0.6,-0.2,0
Darius Garland,CLE,19,3.8,2.5
Marcus Garrett,MIA,4.7,-0.1,0.2
Usman Garuba,HOU,12.9,0.2,0.3
Luka Garza,DET,15.6,0.5,0.2
Rudy Gay,UTA,13,0.8,1.3
Paul George,LAC,18.6,-0.6,1.9
Taj Gibson,NYK,12,1.4,1.2
Josh Giddey,OKC,13.3,-1.3,1.7
Shai Gilgeous-Alexander,OKC,20.9,2.8,1.8
Anthony Gill,WAS,14.7,1.1,0.2
Freddie Gillespie,ORL,9.5,-0.1,0.2
Rudy Gobert,UTA,24.7,7.3,4.3
Brandon Goodwin,CLE,11.8,0.1,0.7
Jordan Goodwin,WAS,-20.4,-0.1,0
Aaron Gordon,DEN,15.3,3.2,2
Eric Gordon,HOU,12.1,1.5,-0.1
Devonte' Graham,NOP,12.1,1.6,1.2
Jerami Grant,DET,16.1,1.2,1.1
Hassani Gravett,ORL,10.1,0.1,0.1
Danny Green,PHI,9.5,0.3,1.6
Draymond Green,GSW,14.3,0.8,2.8
Jalen Green,HOU,12.5,0.5,0.2
JaMychal Green,DEN,14.1,1.2,1.4
Javonte Green,CHI,14,2.9,1.5
Jeff Green,DEN,12.5,2.7,1.2
Josh Green,DAL,11.9,1,1.4
Blake Griffin,BRK,13.7,1.2,0.9
Quentin Grimes,NYK,10.7,0.6,0.9
Kyle Guy,MIA,9.5,-0.1,0.2
Rui Hachimura,WAS,14.9,0.9,0.6
Tyrese Haliburton,TOT,18.2,5.2,1.8
Tyrese Haliburton,SAC,17,2.7,1.2
Tyrese Haliburton,IND,20.5,2.5,0.6
Tyler Hall,NYK,0,0,0
R.J. Hampton,ORL,8.5,-1.3,1.1
Tim Hardaway Jr.,DAL,12.7,0.5,1.5
James Harden,TOT,20.9,4.9,2.7
James Harden,BRK,20.4,2.6,1.8
James Harden,PHI,21.8,2.3,0.9
Maurice Harkless,SAC,7.7,-0.1,0.6
Jared Harper,NOP,36.9,0.3,0.1
Montrezl Harrell,TOT,23.2,6.1,1.2
Montrezl Harrell,WAS,23.9,4.2,0.9
Montrezl Harrell,CHO,21.7,1.9,0.3
Gary Harris,ORL,10.9,1.1,1
Joe Harris,BRK,9.6,0.3,0.2
Tobias Harris,PHI,15.9,3,2.6
Shaquille Harrison,BRK,4.6,-0.1,0
Josh Hart,TOT,16.1,2.8,1.5
Josh Hart,NOP,15.2,2.1,1.4
Josh Hart,POR,19.4,0.8,0.2
Isaiah Hartenstein,LAC,22,3.3,2.2
Udonis Haslem,MIA,8.6,-0.1,0.1
Sam Hauser,BOS,14.8,0.4,0.2
Jaxson Hayes,NOP,18.5,3.7,1.3
Killian Hayes,DET,9.3,-1,1.5
Gordon Hayward,CHO,15.1,1.9,1
Aaron Henry,PHI,-7.4,-0.1,0
Juancho Hernangómez,TOT,11.5,0.3,0.6
Juancho Hernangómez,BOS,3.8,-0.3,0.2
Juancho Hernangómez,SAS,9,0,0.1
Juancho Hernangómez,UTA,14.5,0.6,0.4
Willy Hernangómez,NOP,22.2,2.2,0.9
Tyler Herro,MIA,16.2,1.3,2.4
Buddy Hield,TOT,12.9,0.8,1.1
Buddy Hield,SAC,11.9,0,0.8
Buddy Hield,IND,14.5,0.8,0.3
Haywood Highsmith,MIA,7,0,0.2
George Hill,MIL,10.2,1.3,1
Malcolm Hill,TOT,12.7,0.4,0.2
Malcolm Hill,ATL,19,0.2,0.1
Malcolm Hill,CHI,11,0.2,0.1
Solomon Hill,ATL,3.3,-0.1,0.1
Nate Hinton,IND,-45.2,-0.1,0
Jaylen Hoard,OKC,18,0.3,0.3
Aaron Holiday,TOT,12.6,0.5,0.9
Aaron Holiday,WAS,11.3,0.1,0.4
Aaron Holiday,PHO,14.9,0.4,0.5
Jrue Holiday,MIL,19.8,4.5,2.4
Justin Holiday,TOT,9.5,0.8,0.6
Justin Holiday,IND,10.3,1,0.3
Justin Holiday,SAC,7.9,-0.3,0.3
Richaun Holmes,SAC,17.8,2.4,0.9
Rodney Hood,TOT,7.2,0.2,0.5
Rodney Hood,MIL,6.7,0.1,0.4
Rodney Hood,LAC,9.3,0.1,0.1
Scotty Hopson,OKC,0.1,-0.1,0
Al Horford,BOS,16.7,3.7,3.8
Talen Horton-Tucker,LAL,11,-0.2,1.2
Danuel House Jr.,TOT,10.6,0.4,0.7
Danuel House Jr.,HOU,6.8,-0.3,0.1
Danuel House Jr.,NYK,-13.4,0,0
Danuel House Jr.,UTA,12.5,0.7,0.6
Dwight Howard,LAL,18.2,2.2,1.3
Markus Howard,DEN,16.1,0.1,0.2
Kevin Huerter,ATL,11.9,1.8,1
Jay Huff,LAL,0.6,-0.1,0
Elijah Hughes,TOT,5.4,-0.6,0.3
Elijah Hughes,UTA,10.5,0,0.1
Elijah Hughes,POR,3.7,-0.7,0.1
Feron Hunt,NYK,-3,-0.1,0
De'Andre Hunter,ATL,10.6,0.4,0.7
Chandler Hutchison,PHO,1,-0.1,0
Bones Hyland,DEN,14.4,1.1,1.3
Serge Ibaka,TOT,14.4,0.8,1.1
Serge Ibaka,LAC,14.9,0.3,0.8
Serge Ibaka,MIL,13.7,0.5,0.4
Andre Iguodala,GSW,12.3,0.5,1.1
Joe Ingles,UTA,10,1.3,0.9
Brandon Ingram,NOP,18.7,2.5,1.3
Kyrie Irving,BRK,21.4,2.4,0.9
Wes Iwundu,ATL,7.1,0.1,0
Frank Jackson,DET,10.6,0.3,0.4
Isaiah Jackson,IND,20.5,0.7,0.7
Jaren Jackson Jr.,MEM,17,1.7,3.7
Josh Jackson,TOT,9.5,-0.7,0.7
Josh Jackson,DET,9.9,-0.4,0.6
Josh Jackson,SAC,7.1,-0.3,0.1
Justin Jackson,TOT,7.7,0,0
Justin Jackson,BOS,22.7,0,0
Justin Jackson,PHO,6.8,0,0
Reggie Jackson,LAC,12.1,-1.7,2
LeBron James,LAL,26.2,5.2,2.3
DeJon Jarreau,IND,0,0,0
DaQuan Jeffries,MEM,8.4,0,0
Ty Jerome,OKC,11.3,0,0.5
Isaiah Joe,PHI,7.7,0,0.4
Alize Johnson,TOT,10.7,0,0.1
Alize Johnson,CHI,10.2,0.1,0.1
Alize Johnson,WAS,5.7,-0.1,0
Alize Johnson,NOP,15.9,0,0
B.J. Johnson,ORL,12.1,0.1,0
Cameron Johnson,PHO,15.2,3.2,2.4
David Johnson,TOR,-20,0,0
Jalen Johnson,ATL,11.3,-0.1,0.1
James Johnson,BRK,10.3,0.6,1.1
Joe Johnson,BOS,38.7,0,0
Keldon Johnson,SAS,15.2,2.9,2
Keon Johnson,TOT,8.7,-0.8,0.4
Keon Johnson,LAC,9.4,-0.1,0.2
Keon Johnson,POR,8.5,-0.7,0.2
Stanley Johnson,LAL,10.5,0.9,0.9
Tyler Johnson,TOT,7.1,0,0.1
Tyler Johnson,PHI,9.4,0,0
Tyler Johnson,SAS,5.5,0,0
Nikola Jokić,DEN,32.8,10.8,4.5
Carlik Jones,TOT,-1.8,-0.2,0
Carlik Jones,DAL,-4,-0.2,0
Carlik Jones,DEN,8.9,0,0
Damian Jones,SAC,18.3,2.4,0.9
Derrick Jones Jr.,CHI,13,1.4,0.8
Herbert Jones,NOP,12.3,2.1,2.5
Jemerrio Jones,LAL,14.8,0,0
Kai Jones,CHO,9.2,0,0
Mason Jones,LAL,17.8,0.2,0
Tre Jones,SAS,15,1.9,0.9
Tyus Jones,MEM,16.5,3.4,1.6
DeAndre Jordan,TOT,17.2,0.9,1
DeAndre Jordan,LAL,17.5,0.7,0.6
DeAndre Jordan,PHI,16.5,0.3,0.3
Cory Joseph,DET,11.4,1.7,0.8
Georgios Kalaitzakis,TOT,8.6,-0.3,0.2
Georgios Kalaitzakis,MIL,5.8,0,0
Georgios Kalaitzakis,OKC,9.4,-0.2,0.2
Frank Kaminsky,PHO,21.3,0.5,0.3
Luke Kennard,LAC,13.3,2.8,1.7
Braxton Key,TOT,13.7,-0.1,0.3
Braxton Key,PHI,9,0,0
Braxton Key,DET,13.9,0,0.3
George King,DAL,-12.3,-0.1,0
Louis King,SAC,8.1,0,0
Corey Kispert,WAS,10.9,1.6,0.7
Maxi Kleber,DAL,11,0.7,2.3
Brandon Knight,DAL,13,0.1,0.1
Nathan Knight,MIN,18.7,0.6,0.3
Kevin Knox,TOT,10.9,0.1,0.2
Kevin Knox,NYK,11.6,0,0.1
Kevin Knox,ATL,10.1,0,0.1
John Konchar,MEM,14,2.4,1.8
Furkan Korkmaz,PHI,10.2,0.1,1.1
Luke Kornet,TOT,16.6,0.2,0.2
Luke Kornet,CLE,8.7,0,0
Luke Kornet,MIL,-5,0,0
Luke Kornet,BOS,18.8,0.3,0.2
Vit Krejci,OKC,8.5,0.1,0.5
Arnoldas Kulboka,CHO,-10.7,0,0
Jonathan Kuminga,GSW,15.2,1.3,1.8
Kyle Kuzma,WAS,15.2,0,2
Anthony Lamb,SAS,-0.5,0,0
Jeremy Lamb,TOT,13.3,0.6,0.6
Jeremy Lamb,IND,13.4,0.5,0.4
Jeremy Lamb,SAC,13.1,0.1,0.2
Jock Landale,SAS,16,1,0.4
Romeo Langford,TOT,9.2,0.3,1
Romeo Langford,BOS,9.3,0.2,1
Romeo Langford,SAS,8.1,0,0
Zach LaVine,CHI,20,4.5,1.3
Jake Layman,MIN,9,-0.1,0.2
Damion Lee,GSW,10.9,0.9,1.8
Saben Lee,DET,13.8,0.3,0.7
Alex Len,SAC,13.1,0.4,0.5
Caris LeVert,TOT,15.1,1.2,1
Caris LeVert,IND,16.3,1.1,0.4
Caris LeVert,CLE,12.4,0.1,0.6
Kira Lewis Jr.,NOP,9.8,-0.3,0.2
Scottie Lewis,CHO,14.6,0,0
Damian Lillard,POR,18.5,1.7,0.1
Nassir Little,POR,13.5,1.2,0.6
Isaiah Livers,DET,11.1,0.4,0.3
Kevon Looney,GSW,15.7,3.5,3.2
Brook Lopez,MIL,16,0.3,0.3
Robin Lopez,ORL,13.7,0.5,0.3
Didi Louzada,TOT,6.4,0,0
Didi Louzada,NOP,-1.2,0,0
Didi Louzada,POR,6.8,0,0
Kevin Love,CLE,19.6,3.2,2.5
Kyle Lowry,MIA,15,3.7,2.7
Gabriel Lundberg,PHO,7.7,-0.1,0.1
Timothé Luwawu-Cabarrot,ATL,9.3,0.6,0.3
Trey Lyles,TOT,16.4,2.4,1.2
Trey Lyles,DET,16.7,1.3,0.9
Trey Lyles,SAC,16,1.1,0.3
Théo Maledon,OKC,10.6,-0.5,0.8
Sandro Mamukelashvili,MIL,14.7,0.8,0.3
Terance Mann,LAC,13.4,3.1,2.4
Tre Mann,OKC,10.2,-1,1
Boban Marjanović,DAL,18.5,-0.1,0.2
Lauri Markkanen,CLE,14.7,2.7,2.3
Naji Marshall,NOP,12.3,0,0.7
Caleb Martin,MIA,14.8,1.9,2.1
Cody Martin,CHO,12.7,2.4,1.5
Kelan Martin,TOT,9.4,-0.1,0.2
Kelan Martin,IND,9.7,-0.1,0.2
Kelan Martin,BOS,-11.3,-0.1,0
Kenyon Martin Jr.,HOU,14.3,2.3,0.6
Garrison Mathews,HOU,11,2.2,0.5
Dakota Mathias,MEM,11,0,0
Wesley Matthews,MIL,6.9,0.6,0.6
Tyrese Maxey,PHI,16.2,5.4,1.9
Skylar Mays,ATL,11.7,0.2,0.1
Miles McBride,NYK,6.1,-0.1,0.4
Mac McClung,TOT,5.2,0,0
Mac McClung,CHI,8.7,0,0
Mac McClung,LAL,4.7,0,0
CJ McCollum,TOT,18.3,2.6,1
CJ McCollum,POR,15.8,0.7,0.3
CJ McCollum,NOP,21.9,1.9,0.7
T.J. McConnell,IND,15.1,1,0.4
Jaden McDaniels,MIN,10.3,0.7,1.7
Jalen McDaniels,CHO,12.7,1,0.7
Doug McDermott,SAS,11.4,1.1,0.5
JaVale McGee,PHO,22.6,2.4,2.6
Cameron McGriff,POR,12.5,0.1,0
Rodney McGruder,DET,11.6,0.7,0.4
Alfonzo McKinnie,CHI,5.6,-0.2,0.1
JaQuori McLaughlin,DAL,-2.9,0,0
Jordan McLaughlin,MIN,13.4,1.3,1
Ben McLemore,POR,11.7,0.7,0.2
De'Anthony Melton,MEM,15.2,0.9,2.8
Sam Merrill,MEM,7.5,0,0
Chimezie Metu,SAC,13.4,0.1,1.4
Khris Middleton,MIL,18.1,3.2,2.2
C.J. Miles,BOS,-7.8,0,0
Patty Mills,BRK,10.4,1.9,0.9
Paul Millsap,TOT,10.8,0,0.5
Paul Millsap,BRK,11.2,0.1,0.3
Paul Millsap,PHI,9.7,0,0.1
Shake Milton,PHI,11.9,0.7,1
Davion Mitchell,SAC,10.8,-0.5,0.6
Donovan Mitchell,UTA,21.6,4.7,2.5
Evan Mobley,CLE,16.1,1.5,3.7
Malik Monk,LAL,14.4,2.3,1.4
Greg Monroe,TOT,19.5,0.4,0.3
Greg Monroe,MIN,18.9,0.1,0.1
Greg Monroe,WAS,25.1,0,0
Greg Monroe,MIL,16,0.1,0.1
Greg Monroe,UTA,27,0.2,0
Moses Moody,GSW,10.5,0.6,0.7
Xavier Moon,LAC,16.2,0.2,0.2
Matt Mooney,NYK,-20,-0.1,0
Ja Morant,MEM,24.4,4.6,2.1
Juwan Morgan,TOT,8.3,0.1,0
Juwan Morgan,TOR,9.5,0.1,0
Juwan Morgan,BOS,0,0,0
Jaylen Morris,SAS,-11.4,-0.1,0
Marcus Morris,LAC,13.7,0.9,1.5
Markieff Morris,MIA,10.9,0,0.3
Monte Morris,DEN,14.7,3.9,1.5
Emmanuel Mudiay,SAC,12.3,0,0
Mychal Mulder,TOT,3.7,-0.4,0.1
Mychal Mulder,ORL,2.1,-0.5,0.1
Mychal Mulder,MIA,10.7,0.1,0
Ade Murkey,SAC,0,0,0
Trey Murphy III,NOP,12.5,1.3,0.6
Dejounte Murray,SAS,22.3,3.9,3.4
Mike Muscala,OKC,19.7,1.4,0.7
Svi Mykhailiuk,TOR,9.6,0.1,0.7
Abdel Nader,PHO,4.9,-0.3,0.3
Larry Nance Jr.,TOT,14.4,1.5,0.8
Larry Nance Jr.,POR,14.4,1.3,0.6
Larry Nance Jr.,NOP,14.2,0.2,0.2
RJ Nembhard Jr.,CLE,8,0,0
Aaron Nesmith,BOS,7.3,-0.4,0.9
Raul Neto,WAS,12.4,0.7,0.8
Malik Newman,CLE,28.6,0,0
Georges Niang,PHI,10.7,1.5,1.3
Daishen Nix,HOU,8.1,-0.3,0.1
Zeke Nnaji,DEN,13.5,1.2,0.6
Nerlens Noel,NYK,11.8,0.4,1
Jaylen Nowell,MIN,16.8,2.1,0.7
Frank Ntilikina,DAL,10.4,0.1,0.9
Jusuf Nurkić,POR,20,2,1.7
David Nwaba,HOU,15.3,0.8,0.5
Jordan Nwora,MIL,9.9,-0.4,1.1
Royce O'Neale,UTA,10.3,2.7,2.8
Semi Ojeleye,TOT,6.7,-0.1,0.3
Semi Ojeleye,MIL,5,-0.1,0.2
Semi Ojeleye,LAC,12,0.1,0.1
Chuma Okeke,ORL,12,-0.3,2.5
Josh Okogie,MIN,9,0.1,0.5
Onyeka Okongwu,ATL,19.8,3.1,1.1
Isaac Okoro,CLE,10.4,2.4,1.9
KZ Okpala,MIA,10.4,0.2,0.3
Victor Oladipo,MIA,16.8,0.2,0.2
Cameron Oliver,ATL,21.4,0.2,0
Kelly Olynyk,DET,16.7,0.8,0.8
Eugene Omoruyi,DAL,17,0.1,0
Miye Oni,UTA,0.4,-0.1,0
Cedi Osman,CLE,13.3,1.3,1.6
Daniel Oturu,TOR,13.4,0,0
Kelly Oubre Jr.,CHO,14.9,1.8,1.4
Jaysean Paige,DET,-22.2,-0.1,0
Trayvon Palmer,DET,-5.7,-0.1,0
Kevin Pangos,CLE,6.5,-0.1,0.1
Jabari Parker,BOS,14.8,0.1,0.2
Eric Paschall,UTA,13.9,1.4,0.5
Chris Paul,PHO,20.8,5.8,3.6
